,Postal Code,Venue,Venue Latitude,Venue Longitude,Venue Category
4670,M5L,John & Sons Oyster House,43.65065642537144,-79.38161285228475,Seafood Restaurant
4671,M5L,The Keg Steakhouse + Bar - York Street,43.64998659318569,-79.38410336664538,Restaurant
4672,M5L,Equinox Bay Street,43.64809974034856,-79.37998869411526,Gym
4673,M5L,Maman,43.64830873804684,-79.38225333898805,Café
4674,M5L,Hy's Steakhouse,43.649504756476944,-79.38291850488223,Steakhouse
4675,M5L,Dineen @CommerceCourt,43.648250543365556,-79.38012728220869,Coffee Shop
4676,M5L,Mos Mos Coffee,43.64815919753501,-79.37874450467258,Café
4677,M5L,Cafe Landwer,43.64875349932059,-79.3853673607289,Café
4678,M5L,Rosalinda,43.650252483069295,-79.38515575620075,Vegetarian / Vegan Restaurant
4679,M5L,King Taps,43.648475974183,-79.38205778358744,Gastropub
4680,M5L,Cactus Club Cafe,43.6495520142626,-79.38167072512041,American Restaurant
4681,M5L,John & Sons Oyster House,43.65060229830571,-79.38155510682869,Seafood Restaurant
4682,M5L,Boxcar Social Temperance,43.65055725249405,-79.38195634640063,Bar
4683,M5L,Sam James Coffee Bar (SJCB),43.64788137014028,-79.38433152836829,Café
4684,M5L,Bulldog On The Block,43.65065218852629,-79.38414092873634,Coffee Shop
4685,M5L,DAVIDsTEA,43.650546552943766,-79.38338493349875,Tea Room
4686,M5L,Four Seasons Centre for the Performing Arts,43.650592,-79.385806,Concert Hall
4687,M5L,M Square Coffee Co,43.65121797253777,-79.38355459932247,Coffee Shop
4688,M5L,Toronto PATH System,43.64990340698978,-79.3830527039004,General Travel
4689,M5L,Soho House Toronto,43.64873430659662,-79.38654117564838,Speakeasy
4690,M5L,deKEFIR,43.65043319523819,-79.37939324949957,Ice Cream Shop
4691,M5L,Assembly Chef's Hall,43.650578865093934,-79.3834119303614,Food Court
4692,M5L,Pizzeria Libretto,43.64833354686235,-79.38511050184168,Pizza Place
4693,M5L,Richmond Station,43.65156872562108,-79.37926594000328,American Restaurant
